Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.Connection_Exception_UsesSharedNormalization,164,10,0,0,1,0,167
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.DriverContextFactory_ProvidedProvider_ReusesSameInstance,203,10,0,0,1,0,167
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.CheckTransactionError,175,3,2,0,1,0,163
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RestorePhysicalTransaction,127,2,0,1,2,0,158
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.QueryPrepare_Exception_UsesSharedNormalization,190,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.CoreParser_UsesSharedNormalizationPolicy,157,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.FireDACException_PreservesStructuredDBMSInformation,193,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.SetUp,91,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenOpen_OwnerTrue_DeveLiberarDataSetAnterior,269,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLRaisingDriverProvider.ValidateOptions,132,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLTestDriverProvider.ValidateOptions,129,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLControlledProvider.ValidateOptions,98,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenExternalDataSetAndReleaseFacade,144,5,1,0,1,0,146
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Configure_SetterFailure_PreservesClientLibraryError,259,8,0,0,1,0,142
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.ProviderDefault_InterBase_PreservesVendorLib,447,8,0,0,1,0,142
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.CommandOptions_DevemPersistirEntreOpen,221,8,0,0,1,0,142
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.ExecuteOpen_DeveProduzirNovoDataSet,380,8,0,0,1,0,142
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.CheckSecretIsHidden,47,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenSQL,121,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.ExecuteSQL,127,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.OpenOwnedDataSetAndReleaseFacade,133,4,1,0,1,0,133
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RollbackAfterFailure_TransacaoAtiva_DevePreservarErroPrimario,413,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RollbackAfterFailure_FalhaNaInspecao_NaoDeveDescartarDiagnostico,444,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RollbackAfterFailure_FalhaNoRollback_NaoDeveDescartarDiagnostico,460,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Canonical_EmptyPath_PreservesExistingVendorLib,166,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Configure_ExplicitPath_AssignsResolvedVendorLib,219,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.DriverContext_SetterFailure_PreservesDriverError,350,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Configure_MissingVendorLib_PreservesClientLibraryError,371,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.SQL_NaoDeveLimparParametrosConsolidados,181,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.MaterializationOptions_DevemPersistirEntreOpen,238,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.ExecuteExecute_DeveManterDataSetNil,366,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.NovaInstancia_NaoDeveCompartilharParametros,430,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLTestDriverProvider.ApplyConnectionOptions,124,0,2,0,1,0,125
