Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ExpandVariables,342,7,1,1,2,0,263
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindInFramework,602,7,1,1,2,0,263
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Session.pas,TRickSQLServiceFireDACSession.CopyDriverContextError,125,7,0,1,3,0,263
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Validator.pas,TRickSQLCoreCommandValidator.ValidateSQL,58,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidatePort,120,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateTimeout,129,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.FinishPosition,312,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.NextSignificantWord,357,7,1,0,3,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.PreviousWordBeforeToken,383,7,1,0,3,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.ValidateOpen,115,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.ValidateSetup,153,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplyDataType,162,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplySize,177,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.ValidatePrepare,112,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyPortOption,148,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyTimeoutOption,180,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ValidateServer,243,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ValidateDatabase,255,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ValidateUserName,267,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ValidatePassword,279,3,2,1,2,0,254
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.HasDOSHeader,437,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartPostgreSQLEscapeString,675,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryEnterPSQLBlockBody,836,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.Active,163,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Advantage.pas,TRickSQLServiceFireDACDriverAdvantage.CreateDriverLink,46,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.InterBase.pas,TRickSQLServiceFireDACDriverInterBase.CreateDriverLink,49,6,1,1,2,0,250
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.FromDetail,192,3,4,0,1,0,246
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ReadPEOffset,450,5,1,1,2,0,237
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ReadMachine,475,5,1,1,2,0,237
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.IsCompatibleCandidate,553,5,1,1,2,0,237
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartJSONObject,766,5,1,1,2,0,237
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Access.pas,TRickSQLServiceFireDACDriverAccess.CreateDriverLink,41,5,1,1,2,0,237
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.Resolve,851,5,3,0,1,0,229
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.ApplyWithError,130,5,3,0,1,0,229
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Driver.Factory.pas,TRickSQLCoreDriverFactory.Resolve,55,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.AlternativeQuoteClosing,322,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsMySQLDashComment,577,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.BeginParameters,131,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,TRickSQLServiceFireDACDriverContext.ValidateProvider,105,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,TRickSQLServiceFireDACDriverContext.ConfigureVendorLibrary,143,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Firebird.pas,TRickSQLServiceFireDACDriverFirebird.CreateDriverLink,44,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.MySQL.pas,TRickSQLServiceFireDACDriverMySQL.CreateDriverLink,41,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.PostgreSQL.pas,TRickSQLServiceFireDACDriverPostgreSQL.CreateDriverLink,41,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.SQLite.pas,TRickSQLServiceFireDACDriverSQLite.CreateDriverLink,38,4,1,1,2,0,225
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.Open,670,7,0,1,2,0,221
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ArchitectureFromMachine,515,4,1,0,3,0,217
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ArchitectureName,535,4,1,0,3,0,217
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.OpenQuery,191,7,2,0,1,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.MarkJSONObjectSeparator,528,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.PopJSONObject,549,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.ProcessLineComment,945,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.DisableLoginPrompt,184,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.ApplyTimeout,176,3,1,1,2,0,212
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Connection.Options.pas,TRickSQLConnectionOptions.Create,51,10,1,0,1,0,208
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLFireDACConnectionSetup.Create,73,3,3,0,1,0,204
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLFireDACQuerySetup.Create,70,3,3,0,1,0,204
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.SensitiveValueEnd,149,3,2,0,2,0,204
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.Resolve,832,6,2,0,1,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CancelPendingChanges,321,2,1,1,2,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.PreviousSignificantChar,248,6,1,0,2,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Parameter.pas,TRickSQLParameter.Create,32,6,2,0,1,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Parameter.pas,TRickSQLParameter.CreateNull,43,6,2,0,1,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.ExecuteOpen,123,6,2,0,1,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.ExecutePrepare,120,6,2,0,1,0,200
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.BuildCommand,300,9,0,0,2,0,196
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.ConfigureConnection,164,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.ConfigureQuery,175,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.BindParameters,186,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.ConfigureConnection,143,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.ConfigureQuery,162,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.BindParameters,180,2,3,0,1,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyExtraOptions,191,2,2,0,2,0,192
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLClientLibraryResolution.Located,269,5,2,0,1,0,188
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.InspectBinaryStream,487,5,2,0,1,0,188
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.Configure,924,5,2,0,1,0,188
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Driver.Definition.pas,TRickSQLDriverDefinition.Create,39,5,2,0,1,0,188
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,TRickSQLServiceFireDACDriverContext.CreateDriverLink,114,4,0,1,2,0,183
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.ErrorDefault,371,4,0,1,2,0,183
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Error.Parser.pas,TRickSQLCoreErrorParser.FromException,80,1,3,0,1,0,179
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.CreateTransactionError,180,1,3,0,1,0,179
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TokenStartBeforeColon,374,4,1,0,2,0,175
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Command.pas,TRickSQLCommand.Create,26,4,2,0,1,0,175
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Error.pas,TRickSQLError.Create,38,4,2,0,1,0,175
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplyParameter,198,4,2,0,1,0,175
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.CurrentPlatformName,323,3,0,1,2,0,171
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.CurrentArchitecture
  ,526,3,0,1,2,0,171
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Session.pas,TRickSQLServiceFireDACSession.DriverContextReady,118,3,0,1,2,0,171
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.BuildConnection,286,10,0,0,1,0,167
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Validator.pas,TRickSQLCoreCommandValidator.Fail,50,3,2,0,1,0,163
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.Fail,88,3,2,0,1,0,163
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterValidator.Fail,1013,3,2,0,1,0,163
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.InspectBinary,501,6,1,0,1,0,158
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.MaskSensitiveKeys,121,6,1,0,1,0,158
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.ConnectionOptionsDefault,345,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.Add,534,9,0,0,1,0,154
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLClientLibraryConfiguration.Create,287,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLVendorLibraryAssignment.Create,295,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLClientLibrarySearchContext.Create,303,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLDataSetMaterializationSetup.Create,86,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.StartLineComment,600,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,ValidateParameterDefinition,1161,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Connection.Options.pas,TRickSQLConnectionParameter.Create,44,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLFireDACParameterBindSetup.Create,72,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLFireDACConnectionParameter.Create,100,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyCredentialOptions,165,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.DB2.pas,TRickSQLServiceFireDACDriverDB2.ValidateOptions,136,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Informix.pas,TRickSQLServiceFireDACDriverInformix.ValidateOptions,187,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.MSSQL.pas,TRickSQLServiceFireDACDriverMSSQL.ValidateOptions,218,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.ODBC.pas,TRickSQLServiceFireDACDriverODBC.ValidateOptions,200,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Oracle.pas,TRickSQLServiceFireDACDriverOracle.ValidateOptions,179,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.SQLAnywhere.pas,TRickSQLServiceFireDACDriverSQLAnywhere.ValidateOptions,165,2,2,0,1,0,150
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.pas,TRickSQL.Command,55,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.pas,TRickSQL.Open,61,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.CombinePath,312,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.CreateError,546,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ArchitectureDetail,762,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.CreateArchitectureError,769,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Validator.pas,TRickSQLCoreCommandValidator.Validate,80,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.Validate,235,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CreateDataSetError,118,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.ShouldStopCopy,306,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Error.Parser.pas,TRickSQLCoreErrorParser.Unexpected,101,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.OpenConnection,154,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.PrepareQuery,173,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.StartsAt,274,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsQualifiedToken,472,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.CreateConnectionError,149,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.FindFDParam,117,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.CreateParameterError,146,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplyDirection,171,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.CreateQueryError,136,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Session.pas,TRickSQLServiceFireDACSession.CreateSessionError,94,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.Parameter,108,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyServerOption,141,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyDatabaseOption,158,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyCharacterSetOption,173,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Context.pas,TRickSQLServiceFireDACDriverContext.CreateDriverError,98,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Informix.pas,TRickSQLServiceFireDACDriverInformix.ApplyConnectionOptions,180,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.MSSQL.pas,TRickSQLServiceFireDACDriverMSSQL.ApplyConnectionOptions,211,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.ODBC.pas,TRickSQLServiceFireDACDriverODBC.ApplyConnectionOptions,193,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Oracle.pas,TRickSQLServiceFireDACDriverOracle.ApplyConnectionOptions,172,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.SQLAnywhere.pas,TRickSQLServiceFireDACDriverSQLAnywhere.ApplyConnectionOptions,158,1,2,0,1,0,138
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CreateEmptyMemoryDataSet,146,4,1,0,1,0,133
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.PushJSONObject,538,4,1,0,1,0,133
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Error.pas,TRickSQLError.Empty,27,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Session.pas,TRickSQLServiceFireDACSession.Destroy,84,7,0,0,1,0,129
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,ApplyParameter,69,0,2,0,1,0,125
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.SearchDetail,406,3,1,0,1,0,121
